Name,Weight,Time
Duncan Mosciski,113,2014-09-01T17:19:33-06:00
Filomena Hauck,122,2018-11-22T17:27:29-06:00
Arch Bosco,186,2014-11-27T12:59:12-06:00
Edd Lang,140,2018-07-04T17:48:37-06:00
Idell Anderson,154,2017-10-31T15:11:54-06:00
Otha Stokes,109,2016-09-05T12:13:50-06:00
Kiarra Anderson,150,2014-09-01T14:35:10-06:00
Allen Hauck,186,2016-09-05T16:57:35-06:00
Hollie Larkin,185,2017-09-04T18:44:25-06:00
Vidal Wilderman,117,2015-11-26T14:58:16-06:00
Patsy Gleason,178,2014-10-31T16:52:42-06:00
Angelina Olson,132,2015-11-26T16:27:20-06:00
Idell Anderson,155,2014-12-31T14:33:59-06:00
Heather Mosciski,103,2015-07-04T17:12:37-06:00
Abraham Stokes,133,2016-09-05T16:26:14-06:00
Kenna Schumm,140,2018-07-04T12:31:39-06:00
Stephan Lang,177,2014-11-27T13:22:40-06:00
Carolyne Gleason,191,2015-09-07T12:30:17-06:00
Edwina Dietrich,130,2015-12-31T17:54:38-06:00
Christiana Larkin,200,2018-02-02T18:19:28-06:00
Hollie Larkin,184,2016-09-05T13:23:10-06:00
Samanta Smith,186,2014-12-31T17:20:33-06:00
Duncan Mosciski,112,2014-12-31T14:54:11-06:00
Lindsey Anderson,187,2016-11-24T12:10:38-06:00
Quincy Mosciski,141,2015-07-04T13:51:40-06:00
Vilma Dietrich,134,2018-09-03T16:42:46-06:00
Marge Hickle,195,2014-10-31T14:24:30-06:00
Keira Bosco,163,2014-09-01T13:53:30-06:00
Heather Mosciski,102,2018-10-31T14:57:32-06:00
Keira Bosco,164,2014-09-01T12:35:34-06:00
Tod Hickle,147,2014-11-27T14:58:29-06:00
Demario Hauck,154,2016-10-31T13:43:32-06:00
Libbie Hauck,145,2015-07-04T14:28:42-06:00
Hiram Smith,102,2014-10-31T15:35:16-06:00
Idell Anderson,154,2018-12-31T18:12:53-06:00
Abraham Stokes,133,2015-11-26T13:43:27-06:00
Kenna Schumm,137,2017-07-04T16:15:58-06:00
Lindsey Anderson,189,2018-11-22T18:49:17-06:00
Shany Mosciski,152,2015-09-07T17:11:18-06:00
Wilfredo Olson,129,2018-12-31T17:47:47-06:00
Tod Hickle,145,2017-10-31T12:17:55-06:00
Kiarra Anderson,150,2014-10-31T18:13:59-06:00
Johnathon Reinger,173,2017-12-31T13:56:14-06:00
Lindsey Anderson,188,2017-12-31T15:23:13-06:00
Johann Bosco,118,2017-11-23T18:18:52-06:00
Duncan Mosciski,110,2016-10-31T13:16:37-06:00
Stephan Hessel,156,2015-09-07T16:42:47-06:00
Idell Anderson,152,2014-10-31T12:54:57-06:00
Quincy Mosciski,139,2015-11-26T15:26:14-06:00
Eliane Bosco,140,2015-10-31T14:25:10-06:00
Vilma Dietrich,137,2017-11-23T14:15:37-06:00
Angelina Olson,131,2017-10-31T16:47:53-06:00
Johnathon Reinger,170,2017-09-04T18:55:40-06:00
Tod Hickle,148,2015-10-31T18:54:57-06:00
Bennett Stokes,113,2018-02-02T13:17:41-06:00
Stephan Hessel,155,2015-12-31T17:29:48-06:00
Marge Hickle,193,2016-11-24T16:55:42-06:00
Kenna Schumm,137,2018-10-31T13:44:17-06:00
Roy Hauck,131,2016-12-31T17:27:36-06:00
Stephan Lang,176,2015-07-04T12:26:10-06:00
Quincy Mosciski,140,2015-12-31T18:27:38-06:00
Jamir Wilderman,166,2014-11-27T16:53:27-06:00
Heather Mosciski,102,2014-10-31T13:47:27-06:00
Marge Hickle,193,2014-10-31T13:23:17-06:00
Marge Hickle,194,2015-09-07T18:53:53-06:00
Libbie Hauck,147,2015-10-31T13:19:56-06:00
Jeff Dietrich,162,2015-09-07T12:55:45-06:00
Keira Bosco,163,2016-09-05T18:54:13-06:00
Quincy Mosciski,140,2015-09-07T15:34:51-06:00
Lonzo Mosciski,142,2017-12-31T14:51:52-06:00
Stephan Hessel,158,2016-09-05T14:43:38-06:00
Hiram Smith,102,2015-12-31T15:39:29-06:00
Demario Hauck,154,2016-11-24T14:15:43-06:00
Viola Gleason,153,2017-07-04T17:49:19-06:00
Libbie Hauck,149,2016-12-31T14:55:41-06:00
Guillermo Reinger,176,2016-10-31T13:50:59-06:00
Otha Stokes,112,2015-09-07T15:43:27-06:00
Garrison Olson,108,2015-12-31T18:55:40-06:00
Annamae Smith,128,2018-09-03T17:48:39-06:00
Idell Anderson,152,2018-11-22T18:24:26-06:00
Gracie Anderson,169,2016-09-05T15:46:38-06:00
Stephan Hessel,157,2016-09-05T17:22:23-06:00
Lonzo Mosciski,144,2015-10-31T17:42:47-06:00
Lolita Wilderman,148,2016-07-04T13:46:34-06:00
Keira Bosco,162,2018-12-31T18:20:16-06:00
Allen Hauck,185,2015-07-04T17:39:21-06:00
Monica Olson,121,2016-12-31T15:26:49-06:00
Lenore Gleason,102,2015-07-04T12:20:58-06:00
Demario Hauck,148,2018-11-22T13:37:28-06:00
Filomena Hauck,121,2018-12-31T15:39:12-06:00
Vidal Wilderman,117,2017-12-31T16:23:50-06:00
Amanda Gleason,179,2016-11-24T14:19:16-06:00
Stanley Wilderman,163,2015-07-04T13:46:40-06:00
Donnell Hauck,170,2016-07-04T16:16:32-06:00
Kenna Schumm,136,2018-11-22T13:38:22-06:00
Vidal Wilderman,115,2014-12-31T15:39:21-06:00
Carolyne Gleason,191,2018-07-04T14:17:56-06:00
Gracie Anderson,170,2015-09-07T16:37:38-06:00
Lolita Wilderman,147,2016-11-24T17:17:39-06:00
Jamir Wilderman,161,2014-12-31T17:10:36-06:00
Magdalen Gleason,106,2017-11-23T14:39:33-06:00
Stephan Hessel,161,2018-12-31T16:36:46-06:00
Quincy Mosciski,144,2015-12-31T16:53:33-06:00
Otha Stokes,110,2018-11-22T13:54:13-06:00
Jeff Dietrich,164,2018-11-22T17:55:44-06:00
Arch Bosco,187,2015-12-31T14:18:25-06:00
Shany Mosciski,151,2014-07-04T15:11:55-06:00
Eliane Bosco,135,2014-10-31T16:14:59-06:00
Johnathon Reinger,175,2017-07-04T12:42:26-06:00
Douglas Lang,158,2014-11-27T14:51:33-06:00
Vidal Wilderman,118,2018-02-02T13:52:38-06:00
Allen Hauck,186,2017-10-31T13:57:13-06:00
Rosalinda Mosciski,133,2017-07-04T14:40:59-06:00
Hiram Smith,102,2016-11-24T17:41:47-06:00
Magdalen Gleason,107,2017-07-04T12:25:38-06:00
Hiram Smith,103,2016-10-31T17:34:42-06:00
Garrison Olson,110,2016-12-31T13:14:17-06:00
Hollie Larkin,189,2015-09-07T16:55:27-06:00
Cecile Bosco,154,2015-09-07T18:11:28-06:00
Sophie Dietrich,141,2015-10-31T16:19:23-06:00
Carli Gleason,127,2017-11-23T17:22:13-06:00
Angelina Olson,131,2017-10-31T17:58:52-06:00
Johann Bosco,117,2014-10-31T17:15:34-06:00
Samanta Smith,184,2017-11-23T17:41:27-06:00
Khalid Stokes,150,2016-07-04T18:41:22-06:00
Allen Hauck,187,2014-11-27T18:39:28-06:00
Arch Bosco,186,2016-07-04T14:45:27-06:00
Johann Bosco,119,2015-10-31T17:46:34-06:00
Hollie Larkin,186,2014-11-27T13:50:39-06:00
Sophie Dietrich,140,2016-07-04T15:30:34-06:00
Eliane Bosco,137,2014-09-01T15:21:10-06:00
Angelina Olson,134,2015-11-26T13:17:42-06:00
Rosalinda Mosciski,134,2014-07-04T12:38:12-06:00
Lolita Wilderman,148,2014-10-31T16:35:10-06:00
Jeff Dietrich,165,2016-12-31T18:56:19-06:00
Stanley Wilderman,163,2014-11-27T12:49:27-06:00
Wilfredo Olson,129,2014-07-04T17:31:55-06:00
Arch Bosco,188,2018-11-22T12:51:52-06:00
Tod Hickle,145,2015-11-26T14:23:32-06:00
Cecile Bosco,154,2015-11-26T17:53:28-06:00
Angelina Olson,132,2016-11-24T16:55:49-06:00
Johann Bosco,119,2018-09-03T14:42:27-06:00
Duncan Mosciski,113,2018-10-31T13:25:37-06:00
Wilfredo Olson,131,2017-11-23T12:37:32-06:00
Otha Stokes,109,2017-12-31T15:31:22-06:00
Gracie Anderson,169,2016-12-31T16:41:23-06:00
Stephan Hessel,157,2015-11-26T14:28:51-06:00
Quincy Mosciski,140,2014-11-27T13:11:19-06:00
Antonetta Bosco,114,2017-09-04T13:49:15-06:00
Donnell Hauck,170,2014-12-31T14:11:54-06:00
Bennett Stokes,117,2016-07-04T17:46:21-06:00
Christiana Larkin,198,2017-10-31T14:46:23-06:00
Magdalen Gleason,107,2016-07-04T14:38:46-06:00
Tod Hickle,145,2018-09-03T14:32:49-06:00
Stephan Hessel,158,2018-12-31T13:26:27-06:00
Antonetta Bosco,114,2014-11-27T15:49:10-06:00
Arch Bosco,186,2015-12-31T15:30:33-06:00
Carli Gleason,124,2015-09-07T14:32:15-06:00
Roy Hauck,129,2016-12-31T18:26:37-06:00
Kiarra Anderson,149,2017-10-31T16:23:50-06:00
Jeff Dietrich,162,2014-12-31T13:41:16-06:00
Amanda Gleason,174,2015-11-26T13:53:58-06:00
Libbie Hauck,144,2014-12-31T16:55:14-06:00
Tod Hickle,145,2018-10-31T14:22:19-06:00
Carolyne Gleason,192,2018-02-02T18:42:15-06:00
Kiarra Anderson,151,2015-10-31T16:29:53-06:00
Gracie Anderson,172,2014-11-27T12:37:35-06:00
Glenna Hauck,180,2014-12-31T14:56:43-06:00
Vilma Dietrich,134,2015-10-31T18:49:28-06:00
Viola Gleason,152,2018-02-02T12:50:45-06:00
Amanda Gleason,175,2016-11-24T18:39:44-06:00
Quincy Mosciski,144,2016-10-31T13:50:34-06:00
Angelina Olson,132,2018-12-31T14:17:17-06:00
Carolyne Gleason,189,2018-02-02T15:46:23-06:00
Edwina Dietrich,127,2016-07-04T15:59:33-06:00
Khalid Stokes,150,2017-10-31T13:53:22-06:00
Edd Lang,141,2017-12-31T15:28:14-06:00
Duncan Mosciski,111,2018-02-02T13:24:26-06:00
Nona Hickle,151,2018-02-02T16:16:29-06:00
Donnell Hauck,171,2015-07-04T14:23:50-06:00
Carolyne Gleason,190,2015-09-07T15:13:26-06:00
Monica Olson,121,2017-12-31T12:19:41-06:00
Vilma Dietrich,134,2018-11-22T18:56:38-06:00
Libbie Hauck,146,2017-11-23T12:50:57-06:00
Idell Anderson,153,2017-10-31T18:56:43-06:00
Jamir Wilderman,163,2018-12-31T16:54:17-06:00
Gisselle Mosciski,111,2015-10-31T16:15:29-06:00
Duncan Mosciski,111,2016-12-31T13:43:58-06:00
Antonetta Bosco,113,2018-07-04T17:36:51-06:00
Keira Bosco,164,2016-07-04T18:42:44-06:00
Carolyne Gleason,192,2018-09-03T12:30:51-06:00
Viola Gleason,153,2014-11-27T17:13:30-06:00
Nona Hickle,145,2015-10-31T12:25:48-06:00
Abraham Stokes,133,2016-12-31T16:52:15-06:00
Otha Stokes,112,2016-10-31T17:43:52-06:00
Kiarra Anderson,151,2017-09-04T14:33:54-06:00
Bennett Stokes,113,2014-12-31T18:18:35-06:00
Glenna Hauck,177,2017-10-31T14:56:41-06:00
Filomena Hauck,121,2017-10-31T18:21:44-06:00
Patsy Gleason,180,2017-09-04T13:58:36-06:00
Gracie Anderson,175,2015-12-31T16:33:26-06:00
Roy Hauck,131,2016-12-31T14:16:46-06:00
Monica Olson,122,2018-07-04T13:23:32-06:00
Carolyne Gleason,188,2014-11-27T16:38:54-06:00
Libbie Hauck,143,2015-10-31T18:53:39-06:00
Keira Bosco,165,2015-10-31T15:41:49-06:00
Gracie Anderson,171,2018-02-02T17:47:22-06:00
Lenore Gleason,100,2018-10-31T16:49:39-06:00
Antonetta Bosco,119,2017-12-31T18:16:21-06:00
Allen Hauck,186,2016-12-31T16:21:18-06:00
Idell Anderson,154,2014-07-04T16:20:11-06:00
Lolita Wilderman,148,2015-07-04T16:14:46-06:00
Annamae Smith,129,2016-09-05T15:58:43-06:00
Magdalen Gleason,104,2015-07-04T14:58:55-06:00
Garrison Olson,107,2014-12-31T18:28:14-06:00
Keira Bosco,163,2016-10-31T14:50:36-06:00
Samanta Smith,184,2016-11-24T16:57:10-06:00
Eliane Bosco,140,2018-11-22T17:26:48-06:00
Lindsey Anderson,187,2014-07-04T13:43:13-06:00
Stephan Hessel,159,2016-12-31T13:53:27-06:00
Edd Lang,142,2014-12-31T14:39:29-06:00
Hollie Larkin,186,2018-10-31T13:29:39-06:00
Paul Bosco,172,2016-12-31T12:27:14-06:00
Viola Gleason,153,2015-11-26T17:50:26-06:00
Lolita Wilderman,148,2015-10-31T18:56:33-06:00
Stanley Wilderman,164,2018-11-22T13:43:49-06:00
Abraham Stokes,133,2015-10-31T14:43:27-06:00
Mary Schumm,146,2017-10-31T15:58:58-06:00
Heather Mosciski,101,2015-12-31T14:57:54-06:00
Hiram Smith,102,2016-11-24T13:20:20-06:00
Edd Lang,142,2018-09-03T15:14:57-06:00
Bennett Stokes,117,2014-10-31T18:41:39-06:00
Hollie Larkin,186,2017-12-31T16:44:45-06:00
Bennett Stokes,112,2017-07-04T12:32:23-06:00
Gracie Anderson,173,2018-10-31T12:34:56-06:00
Libbie Hauck,144,2015-10-31T17:53:54-06:00
Amanda Gleason,179,2017-11-23T18:58:48-06:00
Arch Bosco,186,2015-12-31T13:17:16-06:00
Vilma Dietrich,137,2015-09-07T16:47:33-06:00
Stephan Hessel,161,2016-11-24T15:16:54-06:00
Lindsey Anderson,187,2016-10-31T12:35:17-06:00
Lenore Gleason,103,2018-09-03T12:14:46-06:00
Wilfredo Olson,129,2016-11-24T15:26:40-06:00
Carolyne Gleason,194,2015-07-04T15:24:45-06:00
Lonzo Mosciski,143,2017-10-31T16:29:33-06:00
Marge Hickle,192,2017-11-23T16:25:56-06:00
Samanta Smith,185,2018-10-31T17:58:42-06:00
Angelina Olson,131,2017-10-31T13:22:38-06:00
Kenna Schumm,139,2014-12-31T14:45:46-06:00
Jeff Dietrich,163,2018-10-31T13:44:46-06:00
Gisselle Mosciski,115,2015-07-04T16:17:52-06:00
Eliane Bosco,136,2018-11-22T16:43:27-06:00
Carli Gleason,125,2017-11-23T14:22:15-06:00
Keira Bosco,162,2018-07-04T16:39:29-06:00
Lenore Gleason,102,2014-07-04T18:35:48-06:00
Hollie Larkin,189,2014-11-27T16:27:14-06:00
Stanley Wilderman,161,2015-11-26T12:51:14-06:00
Bennett Stokes,115,2017-11-23T14:32:53-06:00
Edd Lang,142,2018-12-31T16:16:59-06:00
Idell Anderson,154,2018-11-22T17:53:54-06:00
Douglas Lang,158,2014-11-27T16:59:19-06:00
Bennett Stokes,111,2016-07-04T12:32:39-06:00
Antonetta Bosco,115,2017-10-31T15:17:50-06:00
Lindsey Anderson,186,2016-10-31T14:11:56-06:00
Kenna Schumm,139,2016-07-04T12:59:26-06:00
Annamae Smith,129,2016-10-31T18:41:49-06:00
Filomena Hauck,122,2018-12-31T12:19:19-06:00
Carolyne Gleason,191,2014-10-31T16:49:38-06:00
Duncan Mosciski,113,2018-10-31T17:16:44-06:00
Garrison Olson,107,2015-11-26T15:17:37-06:00
Magdalen Gleason,110,2014-10-31T14:43:40-06:00
Duncan Mosciski,111,2017-09-04T18:18:21-06:00
Filomena Hauck,121,2016-10-31T16:18:31-06:00
Jeff Dietrich,166,2017-10-31T13:42:54-06:00
Kiarra Anderson,150,2017-10-31T17:49:50-06:00
Jeff Dietrich,168,2015-07-04T16:52:30-06:00
Stephan Hessel,158,2014-09-01T15:39:39-06:00
Filomena Hauck,122,2016-09-05T12:25:49-06:00
Wilfredo Olson,130,2016-07-04T13:17:43-06:00
Johnathon Reinger,170,2015-07-04T14:45:25-06:00
Stephan Lang,176,2015-10-31T18:49:21-06:00
Edd Lang,143,2015-10-31T16:51:18-06:00
Magdalen Gleason,104,2014-12-31T16:48:25-06:00
Amanda Gleason,175,2015-11-26T13:24:46-06:00
Edd Lang,142,2015-09-07T16:25:29-06:00
Rosalinda Mosciski,132,2018-11-22T15:42:34-06:00
Vidal Wilderman,118,2017-10-31T13:40:36-06:00
Hiram Smith,104,2014-10-31T17:23:45-06:00
Quincy Mosciski,141,2014-10-31T16:17:18-06:00
Filomena Hauck,122,2018-10-31T15:41:55-06:00
Wilfredo Olson,129,2016-11-24T14:12:51-06:00
Antonetta Bosco,114,2016-12-31T18:40:56-06:00
Johnathon Reinger,171,2017-09-04T14:34:20-06:00
Garrison Olson,107,2015-07-04T17:10:40-06:00
Duncan Mosciski,111,2015-07-04T16:37:23-06:00
Khalid Stokes,153,2018-07-04T13:31:21-06:00
Lindsey Anderson,187,2018-11-22T17:43:29-06:00
Toby Hahn,183,2016-10-31T13:27:47-06:00
Nona Hickle,145,2018-12-31T14:18:15-06:00
Quincy Mosciski,139,2015-09-07T12:18:46-06:00
Keira Bosco,162,2016-07-04T17:58:44-06:00
Edwina Dietrich,127,2015-12-31T15:58:17-06:00
Garrison Olson,109,2015-11-26T14:41:21-06:00
Duncan Mosciski,111,2017-07-04T17:12:58-06:00
Edd Lang,141,2017-09-04T17:17:19-06:00
Samanta Smith,184,2018-10-31T15:58:49-06:00
Arch Bosco,188,2017-12-31T17:38:43-06:00
Shany Mosciski,151,2017-10-31T17:26:30-06:00
Toby Hahn,184,2018-10-31T17:42:59-06:00
Annamae Smith,133,2014-11-27T14:19:21-06:00
Lonzo Mosciski,146,2014-10-31T18:51:45-06:00
Antonetta Bosco,114,2014-09-01T14:22:56-06:00
Garrison Olson,108,2015-07-04T15:47:58-06:00
Gisselle Mosciski,109,2018-02-02T12:58:29-06:00
Edwina Dietrich,125,2015-09-07T14:53:47-06:00
Wilfredo Olson,129,2016-11-24T14:32:45-06:00
Lonzo Mosciski,141,2018-07-04T15:15:22-06:00
Christiana Larkin,199,2014-07-04T12:37:21-06:00
Stephan Hessel,156,2017-07-04T15:47:19-06:00
Samanta Smith,189,2018-09-03T17:58:24-06:00
Bennett Stokes,115,2015-09-07T15:57:25-06:00
Hollie Larkin,184,2018-09-03T18:22:48-06:00
Paul Bosco,170,2016-07-04T12:50:10-06:00
Glenna Hauck,176,2014-09-01T16:36:48-06:00
Filomena Hauck,124,2018-12-31T16:10:15-06:00
Toby Hahn,185,2018-07-04T16:27:23-06:00
Stephan Lang,178,2014-09-01T15:50:26-06:00
Roy Hauck,132,2015-09-07T15:42:32-06:00
Lenore Gleason,103,2018-02-02T15:52:54-06:00
Donnell Hauck,170,2018-11-22T15:41:42-06:00
Sophie Dietrich,141,2017-11-23T18:17:25-06:00
Edwina Dietrich,127,2016-07-04T18:36:52-06:00
Shany Mosciski,150,2014-07-04T13:41:54-06:00
Annamae Smith,129,2018-09-03T18:21:58-06:00
Wilhelm Bosco,187,2017-07-04T14:59:48-06:00
Libbie Hauck,143,2018-12-31T14:23:30-06:00
Guillermo Reinger,174,2014-10-31T16:20:16-06:00
Annamae Smith,129,2016-11-24T15:42:15-06:00
Magdalen Gleason,106,2017-07-04T16:22:23-06:00
Paul Bosco,173,2016-10-31T18:51:14-06:00
Monica Olson,122,2018-11-22T16:57:34-06:00
Helena Stokes,161,2014-09-01T13:48:33-06:00
Arch Bosco,186,2018-02-02T15:40:39-06:00
Guillermo Reinger,176,2018-02-02T16:34:37-06:00
Toby Hahn,183,2016-12-31T17:43:18-06:00
Marge Hickle,195,2016-11-24T15:11:20-06:00
Guillermo Reinger,175,2017-09-04T13:52:28-06:00
Lenore Gleason,100,2014-11-27T12:55:36-06:00
Edd Lang,143,2018-09-03T13:43:35-06:00
Jeff Dietrich,163,2016-10-31T15:19:34-06:00
Bennett Stokes,113,2015-12-31T13:29:57-06:00
Eliane Bosco,136,2017-07-04T12:22:34-06:00
Keira Bosco,164,2014-07-04T14:38:43-06:00
Lonzo Mosciski,142,2016-10-31T12:43:40-06:00
Garrison Olson,110,2014-09-01T17:51:34-06:00
Amanda Gleason,176,2014-10-31T15:26:34-06:00
Johnathon Reinger,173,2015-12-31T17:36:43-06:00
Helena Stokes,163,2014-11-27T12:45:55-06:00
Rosalinda Mosciski,134,2017-09-04T12:37:35-06:00
Filomena Hauck,122,2014-09-01T17:54:15-06:00
Hollie Larkin,185,2016-10-31T15:30:20-06:00
Bennett Stokes,114,2014-07-04T12:24:59-06:00
Magdalen Gleason,110,2016-07-04T16:14:28-06:00
Garrison Olson,107,2015-12-31T12:47:33-06:00
Glenna Hauck,178,2018-10-31T13:55:18-06:00
Kenna Schumm,137,2018-11-22T14:48:37-06:00
Allen Hauck,188,2014-11-27T16:54:50-06:00
Lolita Wilderman,146,2018-12-31T12:14:35-06:00
Vilma Dietrich,133,2018-12-31T15:46:28-06:00
Bennett Stokes,114,2018-07-04T12:42:36-06:00
Paul Bosco,175,2016-11-24T13:52:28-06:00
Lindsey Anderson,186,2016-12-31T15:40:48-06:00
Glenna Hauck,182,2014-09-01T15:47:26-06:00
Viola Gleason,156,2016-12-31T16:59:26-06:00
Toby Hahn,185,2014-11-27T16:53:30-06:00
Amanda Gleason,177,2016-12-31T16:12:44-06:00
Jamir Wilderman,162,2014-12-31T12:31:55-06:00
Guillermo Reinger,174,2018-12-31T13:22:58-06:00
Filomena Hauck,121,2018-07-04T16:40:37-06:00
Douglas Lang,161,2014-09-01T16:42:53-06:00
Gracie Anderson,171,2017-11-23T13:20:26-06:00
Gisselle Mosciski,110,2017-12-31T15:51:10-06:00
Sophie Dietrich,142,2017-07-04T13:24:29-06:00
Nona Hickle,148,2016-07-04T16:21:30-06:00
Lolita Wilderman,146,2015-10-31T18:58:33-06:00
Filomena Hauck,124,2017-09-04T18:39:57-06:00
Libbie Hauck,146,2015-10-31T13:45:15-06:00
Rosalinda Mosciski,132,2018-12-31T17:59:53-06:00
Gracie Anderson,172,2018-12-31T15:45:49-06:00
Tod Hickle,146,2016-07-04T15:18:15-06:00
Viola Gleason,153,2018-09-03T13:34:30-06:00
Tod Hickle,146,2018-12-31T18:50:44-06:00
Lonzo Mosciski,143,2017-11-23T16:27:11-06:00
Sophie Dietrich,146,2014-09-01T17:24:23-06:00
Monica Olson,120,2018-07-04T14:23:46-06:00
Duncan Mosciski,113,2016-09-05T17:55:26-06:00
Abraham Stokes,130,2015-10-31T14:16:28-06:00
Duncan Mosciski,111,2015-10-31T15:44:39-06:00
Bennett Stokes,115,2018-02-02T16:41:46-06:00
Carli Gleason,126,2017-11-23T12:41:30-06:00
Wilhelm Bosco,190,2018-10-31T15:15:52-06:00
Bennett Stokes,117,2017-12-31T14:41:41-06:00
Bennett Stokes,115,2016-12-31T12:14:16-06:00
Nona Hickle,147,2018-12-31T16:40:43-06:00
Johnathon Reinger,171,2014-12-31T13:40:26-06:00
Hollie Larkin,185,2016-07-04T14:47:17-06:00
Helena Stokes,163,2018-07-04T12:53:30-06:00
Lolita Wilderman,148,2017-09-04T15:55:18-06:00
Rosalinda Mosciski,135,2016-07-04T17:55:29-06:00
Tod Hickle,146,2017-07-04T15:46:32-06:00
Demario Hauck,154,2017-12-31T13:18:13-06:00
Marge Hickle,195,2018-11-22T13:54:15-06:00
Gisselle Mosciski,110,2017-11-23T16:40:42-06:00
Lindsey Anderson,187,2017-07-04T14:50:36-06:00
Paul Bosco,171,2016-07-04T12:34:44-06:00
Keira Bosco,162,2017-11-23T14:29:48-06:00
Patsy Gleason,178,2015-07-04T14:26:26-06:00
Amanda Gleason,176,2016-09-05T15:59:54-06:00
Johnathon Reinger,170,2018-02-02T13:57:29-06:00
Libbie Hauck,147,2017-11-23T12:30:31-06:00
Lenore Gleason,103,2014-09-01T14:37:28-06:00
Heather Mosciski,102,2014-10-31T13:21:31-06:00
Duncan Mosciski,110,2017-07-04T16:30:14-06:00
Stephan Hessel,161,2017-10-31T15:13:40-06:00
Libbie Hauck,147,2014-07-04T17:36:42-06:00
Douglas Lang,163,2014-09-01T17:15:31-06:00
Nona Hickle,145,2018-07-04T18:19:58-06:00
Roy Hauck,130,2017-10-31T18:23:14-06:00
Filomena Hauck,121,2017-07-04T12:45:58-06:00
Marge Hickle,198,2016-11-24T18:40:29-06:00
Antonetta Bosco,114,2015-09-07T13:50:40-06:00
Duncan Mosciski,111,2016-07-04T18:42:55-06:00
Viola Gleason,155,2017-10-31T13:11:49-06:00
